shift_id,date,shift,nurse_id,nurse_name,role
SH-000028,2016-01-15,Night (19-07),RN-001,Diego Costa,Bedside Nurse
SH-000028,2016-01-15,Night (19-07),RN-015,Leo Adeyemi,Bedside Nurse
SH-000029,2016-01-16,Day (07-19),RN-024,Priya Okafor,Charge Nurse
SH-000029,2016-01-16,Day (07-19),RN-040,Hana Meyer,Bedside Nurse
SH-000029,2016-01-16,Day (07-19),RN-041,Yara Okafor,Bedside Nurse
SH-000030,2016-01-16,Night (19-07),RN-022,Diego Bauer,Charge Nurse
SH-000030,2016-01-16,Night (19-07),RN-009,Amara Bauer,Bedside Nurse
SH-000030,2016-01-16,Night (19-07),RN-013,Mei Meyer,Bedside Nurse
SH-000031,2016-01-17,Day (07-19),RN-023,Sam Okafor,Charge Nurse
SH-000031,2016-01-17,Day (07-19),RN-003,Tom Dubois,Bedside Nurse
SH-000031,2016-01-17,Day (07-19),RN-041,Yara Okafor,Bedside Nurse
SH-000032,2016-01-17,Night (19-07),RN-005,Zara Sharma,Charge Nurse
SH-000032,2016-01-17,Night (19-07),RN-024,Priya Okafor,Bedside Nurse
SH-000032,2016-01-17,Night (19-07),RN-012,Zara Okafor,Bedside Nurse
SH-000033,2016-01-18,Day (07-19),RN-001,Diego Costa,Charge Nurse
SH-000033,2016-01-18,Day (07-19),RN-023,Sam Okafor,Bedside Nurse
SH-000033,2016-01-18,Day (07-19),RN-035,Maya Costa,Bedside Nurse
SH-000034,2016-01-18,Night (19-07),RN-014,Sofia Mensah,Charge Nurse
SH-000034,2016-01-18,Night (19-07),RN-007,Sam Khan,Bedside Nurse
SH-000034,2016-01-18,Night (19-07),RN-021,Ben Rossi,Bedside Nurse
SH-000035,2016-01-19,Day (07-19),RN-029,Omar Adeyemi,Charge Nurse
SH-000035,2016-01-19,Day (07-19),RN-005,Zara Sharma,Bedside Nurse
SH-000035,2016-01-19,Day (07-19),RN-012,Zara Okafor,Bedside Nurse
SH-000036,2016-01-19,Night (19-07),RN-002,Mei Mensah,Charge Nurse
SH-000036,2016-01-19,Night (19-07),RN-005,Zara Sharma,Bedside Nurse
SH-000036,2016-01-19,Night (19-07),RN-040,Hana Meyer,Bedside Nurse
SH-000037,2016-01-20,Day (07-19),RN-037,Diego Meyer,Charge Nurse
SH-000037,2016-01-20,Day (07-19),RN-019,Sam Costa,Bedside Nurse
SH-000037,2016-01-20,Day (07-19),RN-024,Priya Okafor,Bedside Nurse
SH-000038,2016-01-20,Night (19-07),RN-026,Jack Silva,Charge Nurse
SH-000038,2016-01-20,Night (19-07),RN-008,Leo Sharma,Bedside Nurse
SH-000038,2016-01-20,Night (19-07),RN-031,Diego Khan,Bedside Nurse
SH-000039,2016-01-21,Day (07-19),RN-011,Mei Okafor,Charge Nurse
SH-000039,2016-01-21,Day (07-19),RN-023,Sam Okafor,Bedside Nurse
SH-000039,2016-01-21,Day (07-19),RN-016,Ivan Adeyemi,Bedside Nurse
SH-000040,2016-01-21,Night (19-07),RN-011,Mei Okafor,Charge Nurse
SH-000040,2016-01-21,Night (19-07),RN-031,Diego Khan,Bedside Nurse
SH-000040,2016-01-21,Night (19-07),RN-030,Tom Nguyen,Bedside Nurse
SH-000041,2016-01-22,Day (07-19),RN-035,Maya Costa,Charge Nurse
SH-000041,2016-01-22,Day (07-19),RN-007,Sam Khan,Bedside Nurse
SH-000041,2016-01-22,Day (07-19),RN-036,Ana Bauer,Bedside Nurse
SH-000042,2016-01-22,Night (19-07),RN-026,Jack Silva,Charge Nurse
SH-000042,2016-01-22,Night (19-07),RN-037,Diego Meyer,Bedside Nurse
SH-000042,2016-01-22,Night (19-07),RN-028,Kofi Mensah,Bedside Nurse
SH-000043,2016-01-23,Day (07-19),RN-008,Leo Sharma,Charge Nurse
SH-000043,2016-01-23,Day (07-19),RN-002,Mei Mensah,Bedside Nurse
SH-000043,2016-01-23,Day (07-19),RN-006,Mei Sharma,Bedside Nurse
SH-000044,2016-01-23,Night (19-07),RN-003,Tom Dubois,Charge Nurse
SH-000044,2016-01-23,Night (19-07),RN-035,Maya Costa,Bedside Nurse
SH-000044,2016-01-23,Night (19-07),RN-033,Sam Adeyemi,Bedside Nurse
SH-000045,2016-01-24,Day (07-19),RN-009,Amara Bauer,Charge Nurse
SH-000045,2016-01-24,Day (07-19),RN-007,Sam Khan,Bedside Nurse
SH-000045,2016-01-24,Day (07-19),RN-010,Priya Park,Bedside Nurse
SH-000045,2016-01-24,Day (07-19),RN-018,Omar Ivanov,Bedside Nurse
SH-000046,2016-01-24,Night (19-07),RN-022,Diego Bauer,Charge Nurse
SH-000046,2016-01-24,Night (19-07),RN-036,Ana Bauer,Bedside Nurse
SH-000046,2016-01-24,Night (19-07),RN-031,Diego Khan,Bedside Nurse
SH-000046,2016-01-24,Night (19-07),RN-039,Grace Dubois,Bedside Nurse
SH-000047,2016-01-25,Day (07-19),RN-027,Maya Okafor,Charge Nurse
SH-000047,2016-01-25,Day (07-19),RN-021,Ben Rossi,Bedside Nurse
SH-000047,2016-01-25,Day (07-19),RN-025,Lena Meyer,Bedside Nurse
SH-000047,2016-01-25,Day (07-19),RN-004,Sara Adeyemi,Bedside Nurse
SH-000048,2016-01-25,Night (19-07),RN-011,Mei Okafor,Charge Nurse
SH-000048,2016-01-25,Night (19-07),RN-034,Priya Rossi,Bedside Nurse
SH-000048,2016-01-25,Night (19-07),RN-015,Leo Adeyemi,Bedside Nurse
SH-000048,2016-01-25,Night (19-07),RN-035,Maya Costa,Bedside Nurse
SH-000049,2016-01-26,Day (07-19),RN-040,Hana Meyer,Charge Nurse
SH-000049,2016-01-26,Day (07-19),RN-039,Grace Dubois,Bedside Nurse
SH-000049,2016-01-26,Day (07-19),RN-034,Priya Rossi,Bedside Nurse
SH-000049,2016-01-26,Day (07-19),RN-006,Mei Sharma,Bedside Nurse
SH-000050,2016-01-26,Night (19-07),RN-002,Mei Mensah,Charge Nurse
SH-000050,2016-01-26,Night (19-07),RN-019,Sam Costa,Bedside Nurse
SH-000050,2016-01-26,Night (19-07),RN-029,Omar Adeyemi,Bedside Nurse
SH-000050,2016-01-26,Night (19-07),RN-040,Hana Meyer,Bedside Nurse
SH-000051,2016-01-27,Day (07-19),RN-009,Amara Bauer,Charge Nurse
SH-000051,2016-01-27,Day (07-19),RN-024,Priya Okafor,Bedside Nurse
SH-000051,2016-01-27,Day (07-19),RN-022,Diego Bauer,Bedside Nurse
SH-000051,2016-01-27,Day (07-19),RN-011,Mei Okafor,Bedside Nurse
SH-000052,2016-01-27,Night (19-07),RN-026,Jack Silva,Charge Nurse
SH-000052,2016-01-27,Night (19-07),RN-027,Maya Okafor,Bedside Nurse
SH-000052,2016-01-27,Night (19-07),RN-020,Ana Silva,Bedside Nurse
SH-000052,2016-01-27,Night (19-07),RN-024,Priya Okafor,Bedside Nurse
SH-000053,2016-01-28,Day (07-19),RN-010,Priya Park,Charge Nurse
SH-000053,2016-01-28,Day (07-19),RN-014,Sofia Mensah,Bedside Nurse
SH-000053,2016-01-28,Day (07-19),RN-041,Yara Okafor,Bedside Nurse
SH-000053,2016-01-28,Day (07-19),RN-005,Zara Sharma,Bedside Nurse
SH-000054,2016-01-28,Night (19-07),RN-029,Omar Adeyemi,Charge Nurse
SH-000054,2016-01-28,Night (19-07),RN-042,Priya Mensah,Bedside Nurse
SH-000054,2016-01-28,Night (19-07),RN-003,Tom Dubois,Bedside Nurse
SH-000054,2016-01-28,Night (19-07),RN-030,Tom Nguyen,Bedside Nurse
SH-000055,2016-01-29,Day (07-19),RN-017,Sam Meyer,Charge Nurse
SH-000055,2016-01-29,Day (07-19),RN-002,Mei Mensah,Bedside Nurse
SH-000055,2016-01-29,Day (07-19),RN-018,Omar Ivanov,Bedside Nurse
SH-000055,2016-01-29,Day (07-19),RN-004,Sara Adeyemi,Bedside Nurse
SH-000056,2016-01-29,Night (19-07),RN-004,Sara Adeyemi,Charge Nurse
SH-000056,2016-01-29,Night (19-07),RN-020,Ana Silva,Bedside Nurse
SH-000056,2016-01-29,Night (19-07),RN-010,Priya Park,Bedside Nurse
SH-000056,2016-01-29,Night (19-07),RN-006,Mei Sharma,Bedside Nurse
SH-000057,2016-01-30,Day (07-19),RN-006,Mei Sharma,Charge Nurse
SH-000057,2016-01-30,Day (07-19),RN-030,Tom Nguyen,Bedside Nurse
SH-000057,2016-01-30,Day (07-19),RN-019,Sam Costa,Bedside Nurse
SH-000057,2016-01-30,Day (07-19),RN-037,Diego Meyer,Bedside Nurse
SH-000058,2016-01-30,Night (19-07),RN-010,Priya Park,Charge Nurse
SH-000058,2016-01-30,Night (19-07),RN-021,Ben Rossi,Bedside Nurse
SH-000058,2016-01-30,Night (19-07),RN-003,Tom Dubois,Bedside Nurse
SH-000058,2016-01-30,Night (19-07),RN-002,Mei Mensah,Bedside Nurse
SH-000059,2016-01-31,Day (07-19),RN-038,Lena Rossi,Charge Nurse
SH-000059,2016-01-31,Day (07-19),RN-008,Leo Sharma,Bedside Nurse
SH-000059,2016-01-31,Day (07-19),RN-032,Priya Khan,Bedside Nurse
SH-000059,2016-01-31,Day (07-19),RN-031,Diego Khan,Bedside Nurse
SH-000059,2016-01-31,Day (07-19),RN-024,Priya Okafor,Bedside Nurse
SH-000060,2016-01-31,Night (19-07),RN-026,Jack Silva,Charge Nurse
SH-000060,2016-01-31,Night (19-07),RN-023,Sam Okafor,Bedside Nurse
SH-000060,2016-01-31,Night (19-07),RN-040,Hana Meyer,Bedside Nurse
SH-000060,2016-01-31,Night (19-07),RN-008,Leo Sharma,Bedside Nurse
SH-000060,2016-01-31,Night (19-07),RN-031,Diego Khan,Bedside Nurse
SH-000061,2016-02-01,Day (07-19),RN-035,Maya Costa,Charge Nurse
SH-000061,2016-02-01,Day (07-19),RN-020,Ana Silva,Bedside Nurse
SH-000061,2016-02-01,Day (07-19),RN-006,Mei Sharma,Bedside Nurse
SH-000061,2016-02-01,Day (07-19),RN-027,Maya Okafor,Bedside Nurse
SH-000061,2016-02-01,Day (07-19),RN-041,Yara Okafor,Bedside Nurse
SH-000062,2016-02-01,Night (19-07),RN-025,Lena Meyer,Charge Nurse
SH-000062,2016-02-01,Night (19-07),RN-020,Ana Silva,Bedside Nurse
SH-000062,2016-02-01,Night (19-07),RN-004,Sara Adeyemi,Bedside Nurse
SH-000062,2016-02-01,Night (19-07),RN-003,Tom Dubois,Bedside Nurse
SH-000062,2016-02-01,Night (19-07),RN-037,Diego Meyer,Bedside Nurse
SH-000063,2016-02-02,Day (07-19),RN-001,Diego Costa,Charge Nurse
SH-000063,2016-02-02,Day (07-19),RN-029,Omar Adeyemi,Bedside Nurse
SH-000063,2016-02-02,Day (07-19),RN-017,Sam Meyer,Bedside Nurse
SH-000063,2016-02-02,Day (07-19),RN-020,Ana Silva,Bedside Nurse
SH-000063,2016-02-02,Day (07-19),RN-030,Tom Nguyen,Bedside Nurse
SH-000064,2016-02-02,Night (19-07),RN-010,Priya Park,Charge Nurse
SH-000064,2016-02-02,Night (19-07),RN-025,Lena Meyer,Bedside Nurse
SH-000064,2016-02-02,Night (19-07),RN-008,Leo Sharma,Bedside Nurse
SH-000064,2016-02-02,Night (19-07),RN-009,Amara Bauer,Bedside Nurse
SH-000064,2016-02-02,Night (19-07),RN-004,Sara Adeyemi,Bedside Nurse
SH-000065,2016-02-03,Day (07-19),RN-028,Kofi Mensah,Charge Nurse
SH-000065,2016-02-03,Day (07-19),RN-033,Sam Adeyemi,Bedside Nurse
SH-000065,2016-02-03,Day (07-19),RN-038,Lena Rossi,Bedside Nurse
SH-000065,2016-02-03,Day (07-19),RN-007,Sam Khan,Bedside Nurse
SH-000066,2016-02-03,Night (19-07),RN-004,Sara Adeyemi,Charge Nurse
SH-000066,2016-02-03,Night (19-07),RN-023,Sam Okafor,Bedside Nurse
SH-000066,2016-02-03,Night (19-07),RN-035,Maya Costa,Bedside Nurse
SH-000066,2016-02-03,Night (19-07),RN-019,Sam Costa,Bedside Nurse
SH-000067,2016-02-04,Day (07-19),RN-040,Hana Meyer,Charge Nurse
SH-000067,2016-02-04,Day (07-19),RN-030,Tom Nguyen,Bedside Nurse
SH-000067,2016-02-04,Day (07-19),RN-029,Omar Adeyemi,Bedside Nurse
SH-000067,2016-02-04,Day (07-19),RN-042,Priya Mensah,Bedside Nurse
SH-000068,2016-02-04,Night (19-07),RN-020,Ana Silva,Charge Nurse
SH-000068,2016-02-04,Night (19-07),RN-028,Kofi Mensah,Bedside Nurse
SH-000068,2016-02-04,Night (19-07),RN-012,Zara Okafor,Bedside Nurse
SH-000068,2016-02-04,Night (19-07),RN-021,Ben Rossi,Bedside Nurse
SH-000069,2016-02-05,Day (07-19),RN-010,Priya Park,Charge Nurse
SH-000069,2016-02-05,Day (07-19),RN-006,Mei Sharma,Bedside Nurse
SH-000069,2016-02-05,Day (07-19),RN-042,Priya Mensah,Bedside Nurse
SH-000069,2016-02-05,Day (07-19),RN-012,Zara Okafor,Bedside Nurse
SH-000069,2016-02-05,Day (07-19),RN-038,Lena Rossi,Bedside Nurse
SH-000070,2016-02-05,Night (19-07),RN-015,Leo Adeyemi,Charge Nurse
SH-000070,2016-02-05,Night (19-07),RN-010,Priya Park,Bedside Nurse
SH-000070,2016-02-05,Night (19-07),RN-005,Zara Sharma,Bedside Nurse
SH-000070,2016-02-05,Night (19-07),RN-018,Omar Ivanov,Bedside Nurse
SH-000070,2016-02-05,Night (19-07),RN-020,Ana Silva,Bedside Nurse
SH-000071,2016-02-06,Day (07-19),RN-035,Maya Costa,Charge Nurse
SH-000071,2016-02-06,Day (07-19),RN-028,Kofi Mensah,Bedside Nurse
SH-000071,2016-02-06,Day (07-19),RN-023,Sam Okafor,Bedside Nurse
SH-000071,2016-02-06,Day (07-19),RN-004,Sara Adeyemi,Bedside Nurse
SH-000071,2016-02-06,Day (07-19),RN-007,Sam Khan,Bedside Nurse
SH-000072,2016-02-06,Night (19-07),RN-020,Ana Silva,Charge Nurse
SH-000072,2016-02-06,Night (19-07),RN-004,Sara Adeyemi,Bedside Nurse
SH-000072,2016-02-06,Night (19-07),RN-039,Grace Dubois,Bedside Nurse
SH-000072,2016-02-06,Night (19-07),RN-011,Mei Okafor,Bedside Nurse
SH-000072,2016-02-06,Night (19-07),RN-023,Sam Okafor,Bedside Nurse
SH-000073,2016-02-07,Day (07-19),RN-034,Priya Rossi,Charge Nurse
SH-000073,2016-02-07,Day (07-19),RN-027,Maya Okafor,Bedside Nurse
SH-000073,2016-02-07,Day (07-19),RN-037,Diego Meyer,Bedside Nurse
SH-000073,2016-02-07,Day (07-19),RN-007,Sam Khan,Bedside Nurse
SH-000073,2016-02-07,Day (07-19),RN-032,Priya Khan,Bedside Nurse
SH-000074,2016-02-07,Night (19-07),RN-010,Priya Park,Charge Nurse
SH-000074,2016-02-07,Night (19-07),RN-035,Maya Costa,Bedside Nurse
SH-000074,2016-02-07,Night (19-07),RN-024,Priya Okafor,Bedside Nurse
SH-000074,2016-02-07,Night (19-07),RN-001,Diego Costa,Bedside Nurse
SH-000074,2016-02-07,Night (19-07),RN-014,Sofia Mensah,Bedside Nurse
SH-000075,2016-02-08,Day (07-19),RN-038,Lena Rossi,Charge Nurse
SH-000075,2016-02-08,Day (07-19),RN-028,Kofi Mensah,Bedside Nurse
SH-000075,2016-02-08,Day (07-19),RN-024,Priya Okafor,Bedside Nurse
SH-000075,2016-02-08,Day (07-19),RN-040,Hana Meyer,Bedside Nurse
SH-000075,2016-02-08,Day (07-19),RN-029,Omar Adeyemi,Bedside Nurse
SH-000076,2016-02-08,Night (19-07),RN-023,Sam Okafor,Charge Nurse
SH-000076,2016-02-08,Night (19-07),RN-010,Priya Park,Bedside Nurse
SH-000076,2016-02-08,Night (19-07),RN-037,Diego Meyer,Bedside Nurse
SH-000076,2016-02-08,Night (19-07),RN-040,Hana Meyer,Bedside Nurse
SH-000076,2016-02-08,Night (19-07),RN-041,Yara Okafor,Bedside Nurse
SH-000077,2016-02-09,Day (07-19),RN-019,Sam Costa,Charge Nurse
SH-000077,2016-02-09,Day (07-19),RN-005,Zara Sharma,Bedside Nurse
SH-000077,2016-02-09,Day (07-19),RN-013,Mei Meyer,Bedside Nurse
SH-000077,2016-02-09,Day (07-19),RN-014,Sofia Mensah,Bedside Nurse
SH-000078,2016-02-09,Night (19-07),RN-013,Mei Meyer,Charge Nurse
SH-000078,2016-02-09,Night (19-07),RN-038,Lena Rossi,Bedside Nurse
SH-000078,2016-02-09,Night (19-07),RN-030,Tom Nguyen,Bedside Nurse
SH-000078,2016-02-09,Night (19-07),RN-011,Mei Okafor,Bedside Nurse
SH-000078,2016-02-09,Night (19-07),RN-029,Omar Adeyemi,Bedside Nurse
SH-000079,2016-02-10,Day (07-19),RN-020,Ana Silva,Charge Nurse
SH-000079,2016-02-10,Day (07-19),RN-007,Sam Khan,Bedside Nurse
SH-000079,2016-02-10,Day (07-19),RN-009,Amara Bauer,Bedside Nurse
SH-000079,2016-02-10,Day (07-19),RN-029,Omar Adeyemi,Bedside Nurse
SH-000080,2016-02-10,Night (19-07),RN-042,Priya Mensah,Charge Nurse
SH-000080,2016-02-10,Night (19-07),RN-036,Ana Bauer,Bedside Nurse
SH-000080,2016-02-10,Night (19-07),RN-016,Ivan Adeyemi,Bedside Nurse
SH-000080,2016-02-10,Night (19-07),RN-027,Maya Okafor,Bedside Nurse
SH-000081,2016-02-11,Day (07-19),RN-024,Priya Okafor,Charge Nurse
SH-000081,2016-02-11,Day (07-19),RN-009,Amara Bauer,Bedside Nurse
SH-000081,2016-02-11,Day (07-19),RN-038,Lena Rossi,Bedside Nurse
SH-000081,2016-02-11,Day (07-19),RN-011,Mei Okafor,Bedside Nurse
SH-000082,2016-02-11,Night (19-07),RN-031,Diego Khan,Charge Nurse
SH-000082,2016-02-11,Night (19-07),RN-021,Ben Rossi,Bedside Nurse
SH-000082,2016-02-11,Night (19-07),RN-035,Maya Costa,Bedside Nurse
SH-000082,2016-02-11,Night (19-07),RN-003,Tom Dubois,Bedside Nurse
SH-000083,2016-02-12,Day (07-19),RN-031,Diego Khan,Charge Nurse
SH-000083,2016-02-12,Day (07-19),RN-028,Kofi Mensah,Bedside Nurse
SH-000083,2016-02-12,Day (07-19),RN-032,Priya Khan,Bedside Nurse
SH-000083,2016-02-12,Day (07-19),RN-041,Yara Okafor,Bedside Nurse
SH-000083,2016-02-12,Day (07-19),RN-011,Mei Okafor,Bedside Nurse
SH-000084,2016-02-12,Night (19-07),RN-034,Priya Rossi,Charge Nurse
SH-000084,2016-02-12,Night (19-07),RN-019,Sam Costa,Bedside Nurse
SH-000084,2016-02-12,Night (19-07),RN-029,Omar Adeyemi,Bedside Nurse
SH-000084,2016-02-12,Night (19-07),RN-022,Diego Bauer,Bedside Nurse
SH-000084,2016-02-12,Night (19-07),RN-040,Hana Meyer,Bedside Nurse
SH-000085,2016-02-13,Day (07-19),RN-030,Tom Nguyen,Charge Nurse
SH-000085,2016-02-13,Day (07-19),RN-005,Zara Sharma,Bedside Nurse
SH-000085,2016-02-13,Day (07-19),RN-036,Ana Bauer,Bedside Nurse
SH-000085,2016-02-13,Day (07-19),RN-014,Sofia Mensah,Bedside Nurse
SH-000085,2016-02-13,Day (07-19),RN-016,Ivan Adeyemi,Bedside Nurse
SH-000086,2016-02-13,Night (19-07),RN-004,Sara Adeyemi,Charge Nurse
SH-000086,2016-02-13,Night (19-07),RN-017,Sam Meyer,Bedside Nurse
SH-000086,2016-02-13,Night (19-07),RN-041,Yara Okafor,Bedside Nurse
SH-000086,2016-02-13,Night (19-07),RN-031,Diego Khan,Bedside Nurse
SH-000086,2016-02-13,Night (19-07),RN-025,Lena Meyer,Bedside Nurse
SH-000087,2016-02-14,Day (07-19),RN-007,Sam Khan,Charge Nurse
SH-000087,2016-02-14,Day (07-19),RN-041,Yara Okafor,Bedside Nurse
SH-000087,2016-02-14,Day (07-19),RN-025,Lena Meyer,Bedside Nurse
SH-000087,2016-02-14,Day (07-19),RN-017,Sam Meyer,Bedside Nurse
SH-000087,2016-02-14,Day (07-19),RN-038,Lena Rossi,Bedside Nurse
SH-000088,2016-02-14,Night (19-07),RN-020,Ana Silva,Charge Nurse
SH-000088,2016-02-14,Night (19-07),RN-010,Priya Park,Bedside Nurse
SH-000088,2016-02-14,Night (19-07),RN-002,Mei Mensah,Bedside Nurse
SH-000088,2016-02-14,Night (19-07),RN-013,Mei Meyer,Bedside Nurse
SH-000088,2016-02-14,Night (19-07),RN-003,Tom Dubois,Bedside Nurse
SH-000089,2016-02-15,Day (07-19),RN-018,Omar Ivanov,Charge Nurse
SH-000089,2016-02-15,Day (07-19),RN-007,Sam Khan,Bedside Nurse
SH-000089,2016-02-15,Day (07-19),RN-022,Diego Bauer,Bedside Nurse
SH-000089,2016-02-15,Day (07-19),RN-016,Ivan Adeyemi,Bedside Nurse
SH-000089,2016-02-15,Day (07-19),RN-033,Sam Adeyemi,Bedside Nurse
SH-000090,2016-02-15,Night (19-07),RN-037,Diego Meyer,Charge Nurse
SH-000090,2016-02-15,Night (19-07),RN-004,Sara Adeyemi,Bedside Nurse
SH-000090,2016-02-15,Night (19-07),RN-024,Priya Okafor,Bedside Nurse
SH-000090,2016-02-15,Night (19-07),RN-029,Omar Adeyemi,Bedside Nurse
SH-000090,2016-02-15,Night (19-07),RN-001,Diego Costa,Bedside Nurse
SH-000091,2016-02-16,Day (07-19),RN-026,Jack Silva,Charge Nurse
SH-000091,2016-02-16,Day (07-19),RN-032,Priya Khan,Bedside Nurse
SH-000091,2016-02-16,Day (07-19),RN-024,Priya Okafor,Bedside Nurse
SH-000091,2016-02-16,Day (07-19),RN-029,Omar Adeyemi,Bedside Nurse
SH-000091,2016-02-16,Day (07-19),RN-011,Mei Okafor,Bedside Nurse
SH-000092,2016-02-16,Night (19-07),RN-017,Sam Meyer,Charge Nurse
SH-000092,2016-02-16,Night (19-07),RN-007,Sam Khan,Bedside Nurse
SH-000092,2016-02-16,Night (19-07),RN-022,Diego Bauer,Bedside Nurse
SH-000092,2016-02-16,Night (19-07),RN-030,Tom Nguyen,Bedside Nurse
SH-000092,2016-02-16,Night (19-07),RN-037,Diego Meyer,Bedside Nurse
SH-000093,2016-02-17,Day (07-19),RN-016,Ivan Adeyemi,Charge Nurse
SH-000093,2016-02-17,Day (07-19),RN-007,Sam Khan,Bedside Nurse
SH-000093,2016-02-17,Day (07-19),RN-042,Priya Mensah,Bedside Nurse
SH-000093,2016-02-17,Day (07-19),RN-037,Diego Meyer,Bedside Nurse
